,M6600003
2012-04-15,358.0
2012-04-16,784.0
2012-04-17,779.0
2012-04-18,726.0
2012-04-19,769.0
2012-04-20,721.0
2012-04-21,407.0
2012-04-22,410.0
2012-04-23,749.0
2012-04-24,733.0
2012-04-25,710.0
2012-04-26,728.0
2012-04-27,664.0
2012-04-28,562.0
2012-04-29,239.0
2012-04-30,280.0
2012-05-01,268.0
2012-05-02,625.0
2012-05-03,703.0
2012-05-04,648.0
2012-05-05,379.0
2012-05-06,327.0
2012-05-07,801.0
2012-05-08,809.0
2012-05-09,712.0
2012-05-10,738.0
2012-05-11,675.0
2012-05-12,412.0
2012-05-13,348.0
2012-05-14,759.0
2012-05-15,771.0
2012-05-16,783.0
2012-05-17,689.0
2012-05-18,687.0
2012-05-19,378.0
2012-05-20,342.0
2012-05-21,776.0
2012-05-22,739.0
2012-05-23,747.0
2012-05-24,765.0
2012-05-25,677.0
2012-05-26,429.0
2012-05-27,352.0
2012-05-28,713.0
2012-05-29,730.0
2012-05-30,789.0
2012-05-31,738.0
2012-06-01,644.0
2012-06-02,357.0
2012-06-03,372.0
2012-06-04,764.0
2012-06-05,782.0
2012-06-06,783.0
2012-06-07,715.0
2012-06-08,641.0
2012-06-09,356.0
2012-06-10,314.0
2012-06-11,653.0
2012-06-12,754.0
2012-06-13,700.0
2012-06-14,770.0
2012-06-15,766.0
2012-06-16,376.0
2012-06-17,342.0
2012-06-18,782.0
2012-06-19,779.0
2012-06-20,729.0
2012-06-21,622.0
2012-06-22,340.0
2012-06-23,271.0
2012-06-24,297.0
2012-06-25,691.0
2012-06-26,732.0
2012-06-27,781.0
2012-06-28,749.0
2012-06-29,708.0
2012-06-30,410.0
2012-07-01,386.0
2012-07-02,771.0
2012-07-03,701.0
2012-07-04,665.0
2012-07-05,688.0
2012-07-06,669.0
2012-07-07,401.0
2012-07-08,353.0
2012-07-09,711.0
2012-07-10,735.0
2012-07-11,755.0
2012-07-12,706.0
2012-07-13,668.0
2012-07-14,415.0
2012-07-15,385.0
2012-07-16,677.0
2012-07-17,778.0
2012-07-18,735.0
2012-07-19,701.0
2012-07-20,664.0
2012-07-21,383.0
2012-07-22,358.0
2012-07-23,683.0
2012-07-24,706.0
2012-07-25,751.0
2012-07-26,731.0
2012-07-27,600.0
2012-07-28,363.0
2012-07-29,350.0
2012-07-30,704.0
2012-07-31,751.0
2012-08-01,635.0
2012-08-02,663.0
2012-08-03,667.0
2012-08-04,417.0
2012-08-05,375.0
2012-08-06,723.0
2012-08-07,809.0
2012-08-08,608.0
2012-08-09,697.0
2012-08-10,662.0
2012-08-11,386.0
2012-08-12,338.0
2012-08-13,683.0
2012-08-14,715.0
2012-08-15,749.0
2012-08-16,787.0
2012-08-17,586.0
2012-08-18,362.0
2012-08-19,335.0
2012-08-20,646.0
2012-08-21,659.0
2012-08-22,619.0
2012-08-23,588.0
2012-08-24,645.0
2012-08-25,381.0
2012-08-26,350.0
2012-08-27,640.0
2012-08-28,638.0
2012-08-29,580.0
2012-08-30,701.0
2012-08-31,659.0
2012-09-01,404.0
2012-09-02,346.0
2012-09-03,688.0
2012-09-04,648.0
2012-09-05,713.0
2012-09-06,631.0
2012-09-07,600.0
2012-09-08,340.0
2012-09-09,353.0
2012-09-10,746.0
2012-09-11,618.0
2012-09-12,569.0
2012-09-13,668.0
2012-09-14,610.0
2012-09-15,344.0
2012-09-16,317.0
2012-09-17,626.0
2012-09-18,581.0
2012-09-19,550.0
2012-09-20,583.0
2012-09-21,514.0
2012-09-22,335.0
2012-09-23,285.0
2012-09-24,542.0
2012-09-25,554.0
2012-09-26,585.0
2012-09-27,527.0
2012-09-28,529.0
2012-09-29,355.0
2012-09-30,193.0
2012-10-01,193.0
2012-10-02,229.0
2012-10-03,219.0
2012-10-04,254.0
2012-10-05,268.0
2012-10-06,295.0
2012-10-07,293.0
2012-10-08,630.0
2012-10-09,680.0
2012-10-10,693.0
2012-10-11,687.0
2012-10-12,650.0
2012-10-13,382.0
2012-10-14,327.0
2012-10-15,649.0
2012-10-16,706.0
2012-10-17,700.0
2012-10-18,668.0
2012-10-19,634.0
2012-10-20,374.0
2012-10-21,368.0
2012-10-22,722.0
2012-10-23,690.0
2012-10-24,641.0
2012-10-25,666.0
2012-10-26,592.0
2012-10-27,489.0
2012-10-28,413.0
2012-10-29,896.0
2012-10-30,887.0
2012-10-31,909.0
2012-11-01,778.0
2012-11-02,737.0
2012-11-03,450.0
2012-11-04,391.0
2012-11-05,752.0
